Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.3378722249088312,1.132357735537566,-0.37663713363327983,1,42 Coin
404,Scrypt,PoW/PoS,1055184902.04,532000000.0,-0.3211985798450523,1.1323766754498892,-0.37691804736185885,1,404Coin
1337,X13,PoW/PoS,29279424622.5027,314159265359.0,2.307405183265812,1.7833914734468552,-0.49792370970243827,1,EliteCoin
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.148977343532557,-1.2540854995732553,0.11815250487815729,0,Bitcoin
ETH,Ethash,PoW,107684222.6865,0.0,-0.15401350407212358,-2.025498486428065,0.2661518134179693,0,Ethereum
LTC,Scrypt,PoW,63039243.3000049,84000000.0,-0.1697102702586558,-1.097419482277122,-0.01642004531528924,0,Litecoin
DASH,X11,PoW/PoS,9031294.37563393,22000000.0,-0.40660418035168683,1.3314530809409515,-0.3476640904368276,1,Dash
XMR,CryptoNight-V7,PoW,17201143.1449131,0.0,-0.1534723190741272,-2.231819966640539,0.20034509429580236,0,Monero
ETC,Ethash,PoW,113359703.0,210000000.0,-0.15245372555510495,-2.025614485684184,0.26612807853814363,0,Ethereum Classic
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.15676362509026273,-2.0226456238363726,0.23340191783421207,0,ZCash
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.26920395930307683,1.437005434641437,0.0031578521746562856,1,Bitshares
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.1604013421562085,-1.9242670797835335,0.14618951971766717,0,DigiByte
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.31596886248292516,0.9756580211251034,-0.24208354607909469,1,BitcoinDark
XPY,SHA-256,PoS,11995334.8847328,12500000.0,-0.2560029847951417,0.6279377478610317,-0.021047370386965705,1,PayCoin
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.17085743758464816,-1.097401383022876,-0.016401137204239823,0,ProsperCoin
KOBO,X15,PoW/PoS,25542535.5881841,350000000.0,-0.24342982680815478,2.0282631451002837,-0.4424381200021505,1,KoboCoin
SPR,X11,PoW,11149733.9976203,20000000.0,-0.2397972408774021,-0.8982942430678797,0.012575147897251004,0,Spreadcoin
ARG,Scrypt,PoW,12205795.4449549,64000000.0,-0.1704735714561972,-1.0974235497910796,-0.01640711626112119,0,Argentum
AUR,Scrypt,PoW/PoS,18135099.992959,16768584.0,-0.33753154360588117,1.1323537870921119,-0.37664277970600024,1,Aurora Coin
BLU,Scrypt,PoW/PoS,635423900.0,0.0,-0.33010518128045757,1.1325487061784132,-0.37677192547327276,1,BlueCoin
XMY,Multiple,PoW,1688254250.0,2000000000.0,-0.09323144015558539,-1.9165382249161997,0.1502894962866534,0,MyriadCoin
MOON,Scrypt,PoW,88.0,384000000000.0,2.554234677713803,-1.3126232874644799,-0.05759710408811974,0,MoonCoin
ZET,SHA-256,PoW,170204389.754849,169795588.0,-0.14605997032461984,-1.2541231340041503,0.11810423814979137,0,ZetaCoin
SXC,Scrypt,PoW,128940951.183046,250000000.0,-0.16772659739280052,-1.0974927191181547,-0.01645183515656927,0,SexCoin
QTL,Scrypt,PoW,7357794.7925,100000000.0,-0.1702773325690216,-1.0974451848062232,-0.01640995030729781,0,Quatloo
ENRG,Scrypt,PoW/PoS,123062801.128773,0.0,-0.3363679791138086,1.1323947209068441,-0.3766632388120821,1,EnergyCoin
QRK,Quark,PoW,259557164.91477,247000000.0,-0.2267964502233444,-0.43855515943567613,0.029381420483658747,0,QuarkCoin
RIC,Groestl,PoW,49548585.1412917,84000000.0,-0.2167368286893188,-1.1464339358943423,0.08199197163825071,0,Riecoin
DGC,Scrypt,PoW,33442988.3440364,48166000.0,-0.17032635714392014,-1.0974082921994806,-0.01640992245287272,0,Digitalcoin 
BTB,Scrypt,PoW/PoS,42579.476901,500000.0,-0.3378681566711635,1.1323574680954178,-0.376637196297315,1,BitBar
CAT,Scrypt,PoW,7219956.64626131,21000000.0,-0.17083969351802983,-1.0974009467442367,-0.016401445140629946,0,Catcoin
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000.0,-0.3378524270095895,1.1323574873452957,-0.3766374613368847,1,CryptoBullion
CCN,Scrypt,PoW,4703879.51824446,13140000.0,-0.17092623227390394,-1.097397297398568,-0.01640006810652694,0,CannaCoin
